Midazolam,,Ketamine,
Alpha_O_Day7_group0,0.221293254,Alpha_O_Day7_group1,0.506507132
Alpha_S_Day7_group0,0.221979403,Alpha_S_Day7_group1,0.028148518
Beta_O_Day7_group0,-0.314632323,Beta_O_Day7_group1,0.278596157
Beta_S_Day7_group0,0.214179315,Beta_S_Day7_group1,-0.190257403
Delta_O_Day7_group0,-0.214989061,Delta_O_Day7_group1,0.513993722
Delta_S_Day7_group0,-0.595991172,Delta_S_Day7_group1,0.113570795
Gamma_O_Day7_group0,-0.018211158,Gamma_O_Day7_group1,-0.064838686
Gamma_S_Day7_group0,-0.023831674,Gamma_S_Day7_group1,0.29760603
Theta_O_Day7_group0,0.39419296,Theta_O_Day7_group1,0.331399377
Theta_S_Day7_group0,0.033717582,Theta_S_Day7_group1,0.03305719
Wholeband_O_Day7_group0,0.370003514,Wholeband_O_Day7_group1,0.51440867
Wholeband_S_Day7_group0,0.245274484,Wholeband_S_Day7_group1,-0.087606831
