,Alpha_o_7DAYMADRS_corr,Alpha_s_7DAYMADRS_corr,Beta_o_7DAYMADRS_corr,Beta_s_7DAYMADRS_corr,Gamma_o_7DAYMADRS_corr,Gamma_s_7DAYMADRS_corr,Theta_o_7DAYMADRS_corr,Theta_s_7DAYMADRS_corr
0,0.131186089,0.20598549,0.160803173,0.130535739,0.035002538,0.068220917,0.094089787,0.07974832
1,4.83E-06,0.299834571,0.01802614,0.09553087,0.057000658,0.015655786,0.012414476,0.174193762
2,0.025227114,0.242549951,0.133339999,0.063174513,0.16081265,0.010239365,0.058402374,0.070746917
3,0.050328161,0.172977054,0.024826409,0.024951785,0.000144453,0.000627469,0.002814843,0.018098183
4,0.15176123,0.244222205,0.162576075,0.086212898,0.225347304,0.016712251,0.130190897,0.06903365
5,0.059342149,0.207692534,0.105303954,0.034261266,0.072676834,0.000335049,0.13606971,0.062527638
6,0.176990186,0.144414385,0.053624194,0.053255927,0.011802412,0.021534049,0.180930777,0.058012253
7,0.083904379,0.186147743,0.079811597,0.074579419,0.016174533,0.026079539,0.062160008,0.058477511
8,0.105064239,0.166409855,0.025897094,0.078699593,0.096617764,0.021910404,0.01190852,0.072308337
9,0.241042645,0.15624367,0.277638937,0.05835377,0.170578297,0.020580549,0.213168674,0.027867004
10,0.175095854,0.07731087,0.18129118,0.042052836,0.124857702,0.00635203,0.141358059,0.002373664
11,0.195227774,0.256071675,0.226710703,0.110654692,0.153761687,0.031950615,0.200702331,0.122650763
12,0.149075692,0.105270548,0.185781179,0.027444375,0.138173705,0.003036015,0.138252991,0.003212645
13,0.004057678,0.106263849,0.002787147,0.148104568,0.01797842,0.11955775,0.006451737,0.030299052
14,0.138332743,0.000241825,0.196886408,0.005053596,0.002261117,0.005123761,0.073478029,0.01775538
15,0.105941603,0.035741755,0.005413305,0.085010572,0.000364482,0.072606091,0.09380432,0.000378971
16,0.001534444,0.006346241,0.103605745,0.056924001,0.114779468,0.083507496,0.002842944,0.012818455
17,0.267824112,0.029980534,0.262232025,0.100375429,0.195291071,0.071011107,0.103886138,1.60E-06
18,0.007141123,0.007306394,0.011684549,0.049157106,0.000220011,0.0823063,0.001865753,0.00165349
19,0.078185718,0.120059411,0.073698473,0.115283594,0.008279537,0.096957329,0.055344308,0.047977895
20,0.029106031,0.014684933,0.046965904,0.089714965,0.143049397,0.061524612,0.009573638,2.07E-05
21,0.01647141,0.124628606,0.031356059,0.103160798,0.00461698,0.087202164,0.00240703,0.052970468
22,0.087227088,0.085991132,0.141095509,0.102821427,0.113925884,0.127137561,0.063524588,0.018618746
23,0.044606121,0.060928842,0.049936074,0.146667199,0.070576143,0.113620223,0.030828818,0.019451488
24,0.068753964,0.033229864,0.116060245,0.036235832,0.103182378,0.043472598,0.026009207,0.00093211
25,0.044285184,0.115860824,0.088395994,0.052104901,0.112106602,0.025882858,0.103576624,0.079827
26,0.03183558,0.052128779,0.001071454,0.013932656,0.076202825,0.021813578,0.032220883,0.001506539
27,0.000554235,0.003318141,0.07884,0.011791862,0.043623075,0.015563701,0.001200784,0.000435316
28,0.170743273,0.052369615,0.195318332,0.031127203,0.231428772,0.035847518,0.337458575,0.024401826
29,0.000231809,0.001301569,0.009580925,0.005384502,0.083466614,0.000214597,0.01758349,0.004125905
30,0.037702682,0.01646529,0.017469619,1.73E-05,0.020047361,0.003974811,0.011955095,0.015355504
31,0.008960252,0.100526627,0.037087675,0.142883687,0.016624202,0.148448209,6.39E-05,0.061814794
32,0.054863766,0.106613569,0.016506785,0.049073649,0.022849587,0.042333821,0.022932255,0.06274208
33,0.061517233,0.001104806,0.084710468,0.035288578,0.000244261,0.006833066,0.06767155,0.055228596
34,0.009612962,0.081776686,0.002470904,0.078474113,0.023041056,0.070918855,0.008867156,0.061396969
35,0.014306702,0.026105763,7.58E-05,8.20E-05,0.052600662,0.062666131,0.002399299,0.031312315
36,0.020987661,0.066119738,0.00290798,0.04007609,0.003709103,0.105762199,0.013160324,0.009658146
37,0.047219956,0.009890418,0.08817608,0.043322413,0.023918756,0.098522796,0.10422905,0.054601913
38,0.033294979,0.00454217,0.257473065,0.024067907,0.261786283,0.016224024,0.071649995,4.24E-05
39,0.036898412,0.02373051,0.15018294,0.084613812,0.128091144,0.051845946,0.051732971,0.013696564
