,0
Alpha_DTC_24H_group0,0.44449103896733794
Alpha_O_24H_group0,0.5956137115158757
Alpha_S_24H_group0,0.4874934631520616
Alpha_TC_24H_group0,0.4265108014823076
Beta_DTC_24H_group0,0.46213058090641057
Beta_O_24H_group0,-0.04217726470166394
Beta_S_24H_group0,0.4993672935199146
Beta_TC_24H_group0,0.5288562144014771
Delta_DTC_24H_group0,0.435486097319297
Delta_O_24H_group0,0.3728092271973665
Delta_S_24H_group0,0.41509570174793853
Delta_TC_24H_group0,0.38495120745375994
Gamma_DTC_24H_group0,0.45595312282643846
Gamma_O_24H_group0,0.3241225873371963
Gamma_S_24H_group0,0.4645874750055649
Gamma_TC_24H_group0,0.47060536110790324
Theta_DTC_24H_group0,0.4345786080455464
Theta_O_24H_group0,0.16317690138798305
Theta_S_24H_group0,0.5277065407249154
Theta_TC_24H_group0,0.715830207878626
Wholeband_DTC_24H_group0,0.3862772871084893
Wholeband_O_24H_group0,0.203081277132318
Wholeband_S_24H_group0,0.5129868093205523
Wholeband_TC_24H_group0,0.5246286495286469
Alpha_DTC_Day7_group0,0.3076568833115595
Alpha_O_Day7_group0,0.29726181630014115
Alpha_S_Day7_group0,0.34915061193056757
Alpha_TC_Day7_group0,0.15177797687335756
Beta_DTC_Day7_group0,0.3780452237320476
Beta_O_Day7_group0,-0.12055325666120076
Beta_S_Day7_group0,0.3641323025668175
Beta_TC_Day7_group0,0.34567243008822607
Delta_DTC_Day7_group0,0.3839604703240856
Delta_O_Day7_group0,0.1797923187569321
Delta_S_Day7_group0,0.3000936649356142
Delta_TC_Day7_group0,0.22887851044598168
Gamma_DTC_Day7_group0,0.37424397230692896
Gamma_O_Day7_group0,0.07410447607602057
Gamma_S_Day7_group0,0.36027679810281743
Gamma_TC_Day7_group0,0.34548398500028055
Theta_DTC_Day7_group0,0.37267294644872195
Theta_O_Day7_group0,-0.12291018609697518
Theta_S_Day7_group0,0.36631095827819987
Theta_TC_Day7_group0,0.4164233254201493
Wholeband_DTC_Day7_group0,0.34661088980495447
Wholeband_O_Day7_group0,0.03731364800206186
Wholeband_S_Day7_group0,0.3986910859252568
Wholeband_TC_Day7_group0,0.3560655400115929
Alpha_DTC_24H_group1,0.06906783576584627
Alpha_O_24H_group1,-0.05418905259906151
Alpha_S_24H_group1,0.12263700493477044
Alpha_TC_24H_group1,-0.019801870547423727
Beta_DTC_24H_group1,0.23542808954839253
Beta_O_24H_group1,-0.02490221237286062
Beta_S_24H_group1,0.1259078444085954
Beta_TC_24H_group1,0.0002549626900942014
Delta_DTC_24H_group1,0.25878366922055845
Delta_O_24H_group1,-0.2270741366106383
Delta_S_24H_group1,0.17223965012752385
Delta_TC_24H_group1,0.08762843415338832
Gamma_DTC_24H_group1,0.2164281866932265
Gamma_O_24H_group1,0.19570169075814794
Gamma_S_24H_group1,0.08472508256449136
Gamma_TC_24H_group1,-0.030539713020087424
Theta_DTC_24H_group1,-0.020154064816003237
Theta_O_24H_group1,0.002775503963690982
Theta_S_24H_group1,-0.04938761663459681
Theta_TC_24H_group1,-0.18261123828603895
Wholeband_DTC_24H_group1,-0.020614754089815193
Wholeband_O_24H_group1,0.2818446293288743
Wholeband_S_24H_group1,0.07763754507620604
Wholeband_TC_24H_group1,-0.02556365003703424
Alpha_DTC_Day7_group1,0.12709098459987553
Alpha_O_Day7_group1,-0.09887814456738357
Alpha_S_Day7_group1,0.2401070943296984
Alpha_TC_Day7_group1,0.11286761487667842
Beta_DTC_Day7_group1,0.15621688418234256
Beta_O_Day7_group1,0.1197165454277894
Beta_S_Day7_group1,0.08796507039507245
Beta_TC_Day7_group1,0.00971775434324774
Delta_DTC_Day7_group1,0.11658682599064919
Delta_O_Day7_group1,0.016509783195612845
Delta_S_Day7_group1,0.09394386606063748
Delta_TC_Day7_group1,0.06870357023914614
Gamma_DTC_Day7_group1,0.11586860721986549
Gamma_O_Day7_group1,0.0069391829786145725
Gamma_S_Day7_group1,0.012578416742718325
Gamma_TC_Day7_group1,-0.07353287156410561
Theta_DTC_Day7_group1,-0.09076063642365276
Theta_O_Day7_group1,-0.023111126116199227
Theta_S_Day7_group1,-0.08463672527521814
Theta_TC_Day7_group1,-0.21875053697672164
Wholeband_DTC_Day7_group1,0.047513566514374064
Wholeband_O_Day7_group1,0.1908313460765843
Wholeband_S_Day7_group1,0.06714227140095481
Wholeband_TC_Day7_group1,0.024578877359931438
