,Max_Index,Max_Value
Beta_o_7DAYMADRS_corr,12995,0.534267513
Gamma_o_24HMADRS_corr,6108,0.524801287
Beta_o_24HMADRS_corr,13111,0.51333635
Theta_o_7DAYMADRS_corr,3076,0.501221846
Alpha_o_7DAYMADRS_corr,7420,0.4849767
Alpha_o_24HMADRS_corr,9393,0.475381852
Gamma_o_7DAYMADRS_corr,6848,0.470084126
Gamma_s_7DAYMADRS_corr,143,0.46455218
Beta_s_7DAYMADRS_corr,137,0.434679998
Theta_o_24HMADRS_corr,8389,0.394282158
Gamma_s_24HMADRS_corr,996,0.370865537
Theta_s_24HMADRS_corr,4177,0.370310796
Alpha_s_7DAYMADRS_corr,2345,0.351854633
Beta_s_24HMADRS_corr,4605,0.338127323
Theta_s_7DAYMADRS_corr,4621,0.325306921
Alpha_s_24HMADRS_corr,146,0.320794597
