...1,subject_id,Group,timepoint,frequency_band,measure,value
0,RS_006_deltas,1,24H,Alpha,DTC,0.016356844
0,RS_006_deltas,1,24H,Alpha,O,0.103856747
0,RS_006_deltas,1,24H,Alpha,S,0.344420638
0,RS_006_deltas,1,24H,Alpha,TC,0.14789696
0,RS_006_deltas,1,24H,Beta,DTC,-0.739162547
0,RS_006_deltas,1,24H,Beta,O,-0.31241215
0,RS_006_deltas,1,24H,Beta,S,0.194550221
0,RS_006_deltas,1,24H,Beta,TC,0.078223126
0,RS_006_deltas,1,24H,Delta,DTC,-0.297163247
0,RS_006_deltas,1,24H,Delta,O,0.035041532
0,RS_006_deltas,1,24H,Delta,S,-0.79958283
0,RS_006_deltas,1,24H,Delta,TC,-0.305048983
0,RS_006_deltas,1,24H,Gamma,DTC,-1.650962665
0,RS_006_deltas,1,24H,Gamma,O,-0.202160747
0,RS_006_deltas,1,24H,Gamma,S,-2.798851422
0,RS_006_deltas,1,24H,Gamma,TC,-0.174641339
0,RS_006_deltas,1,24H,Theta,DTC,-0.694775919
0,RS_006_deltas,1,24H,Theta,O,0.247010895
0,RS_006_deltas,1,24H,Theta,S,-0.517860129
0,RS_006_deltas,1,24H,Theta,TC,-0.283045557
0,RS_006_deltas,1,24H,Wholeband,DTC,-0.730361169
0,RS_006_deltas,1,24H,Wholeband,O,0.057027127
0,RS_006_deltas,1,24H,Wholeband,S,0.066291563
0,RS_006_deltas,1,24H,Wholeband,TC,-0.005005967
1,RS_009_deltas,1,24H,Alpha,DTC,0.820662041
1,RS_009_deltas,1,24H,Alpha,O,0.298728927
1,RS_009_deltas,1,24H,Alpha,S,1.122156936
1,RS_009_deltas,1,24H,Alpha,TC,0.69256118
1,RS_009_deltas,1,24H,Beta,DTC,1.349717388
1,RS_009_deltas,1,24H,Beta,O,0.487946566
1,RS_009_deltas,1,24H,Beta,S,0.178601087
1,RS_009_deltas,1,24H,Beta,TC,0.140512651
1,RS_009_deltas,1,24H,Delta,DTC,0.524344144
1,RS_009_deltas,1,24H,Delta,O,-0.008231557
1,RS_009_deltas,1,24H,Delta,S,1.214171879
1,RS_009_deltas,1,24H,Delta,TC,0.71236171
1,RS_009_deltas,1,24H,Gamma,DTC,0.081414867
1,RS_009_deltas,1,24H,Gamma,O,0.16563999
1,RS_009_deltas,1,24H,Gamma,S,1.370859904
1,RS_009_deltas,1,24H,Gamma,TC,-0.272189686
1,RS_009_deltas,1,24H,Theta,DTC,1.113424346
1,RS_009_deltas,1,24H,Theta,O,0.098735864
1,RS_009_deltas,1,24H,Theta,S,1.738383783
1,RS_009_deltas,1,24H,Theta,TC,0.982878135
1,RS_009_deltas,1,24H,Wholeband,DTC,0.635175485
1,RS_009_deltas,1,24H,Wholeband,O,0.15491633
1,RS_009_deltas,1,24H,Wholeband,S,1.100296469
1,RS_009_deltas,1,24H,Wholeband,TC,0.678553739
2,RS_011_deltas,1,24H,Alpha,DTC,-0.2774019446153846
2,RS_011_deltas,1,24H,Alpha,O,0.03172302876923078
2,RS_011_deltas,1,24H,Alpha,S,-0.1124642402692308
2,RS_011_deltas,1,24H,Alpha,TC,-0.05060289107692309
2,RS_011_deltas,1,24H,Beta,DTC,-0.2212425766153846
2,RS_011_deltas,1,24H,Beta,O,-0.0052496723846153755
2,RS_011_deltas,1,24H,Beta,S,-0.13267642665384619
2,RS_011_deltas,1,24H,Beta,TC,-0.07085994488461539
2,RS_011_deltas,1,24H,Delta,DTC,-0.07057970765384615
2,RS_011_deltas,1,24H,Delta,O,-0.04526332242307693
2,RS_011_deltas,1,24H,Delta,S,-0.04759004319230769
2,RS_011_deltas,1,24H,Delta,TC,0.08552948188461543
2,RS_011_deltas,1,24H,Gamma,DTC,-0.3175801334615384
2,RS_011_deltas,1,24H,Gamma,O,-0.01777716180769231
2,RS_011_deltas,1,24H,Gamma,S,0.1247190796923077
2,RS_011_deltas,1,24H,Gamma,TC,-0.10428458853846154
2,RS_011_deltas,1,24H,Theta,DTC,-0.3223068706923077
2,RS_011_deltas,1,24H,Theta,O,0.056443742038461545
2,RS_011_deltas,1,24H,Theta,S,-0.20784032311538464
2,RS_011_deltas,1,24H,Theta,TC,-0.12047144807692309
2,RS_011_deltas,1,24H,Wholeband,DTC,-0.28353664146153845
2,RS_011_deltas,1,24H,Wholeband,O,0.014150051923076912
2,RS_011_deltas,1,24H,Wholeband,S,-0.11977887307692309
2,RS_011_deltas,1,24H,Wholeband,TC,-0.06309601138461539
3,RS_012_deltas,1,24H,Alpha,DTC,1.882345167
3,RS_012_deltas,1,24H,Alpha,O,0.072454094
3,RS_012_deltas,1,24H,Alpha,S,0.887164902
3,RS_012_deltas,1,24H,Alpha,TC,-0.083323588
3,RS_012_deltas,1,24H,Beta,DTC,2.580270261
3,RS_012_deltas,1,24H,Beta,O,0.537368821
3,RS_012_deltas,1,24H,Beta,S,1.765115649
3,RS_012_deltas,1,24H,Beta,TC,0.744118913
3,RS_012_deltas,1,24H,Delta,DTC,1.540098283
3,RS_012_deltas,1,24H,Delta,O,-0.036499697
3,RS_012_deltas,1,24H,Delta,S,4.062388738
3,RS_012_deltas,1,24H,Delta,TC,2.033177395
3,RS_012_deltas,1,24H,Gamma,DTC,1.315243463
3,RS_012_deltas,1,24H,Gamma,O,0.270033856
3,RS_012_deltas,1,24H,Gamma,S,1.756048293
3,RS_012_deltas,1,24H,Gamma,TC,0.712685067
3,RS_012_deltas,1,24H,Theta,DTC,2.326180085
3,RS_012_deltas,1,24H,Theta,O,0.605836731
3,RS_012_deltas,1,24H,Theta,S,2.967583852
3,RS_012_deltas,1,24H,Theta,TC,1.254220236
3,RS_012_deltas,1,24H,Wholeband,DTC,1.996827005
3,RS_012_deltas,1,24H,Wholeband,O,-0.044859404
3,RS_012_deltas,1,24H,Wholeband,S,2.102690157
3,RS_012_deltas,1,24H,Wholeband,TC,0.765305873
4,RS_018_deltas,1,24H,Alpha,DTC,0.713613098
4,RS_018_deltas,1,24H,Alpha,O,0.048767889
4,RS_018_deltas,1,24H,Alpha,S,-0.15263021
4,RS_018_deltas,1,24H,Alpha,TC,-0.072762604
4,RS_018_deltas,1,24H,Beta,DTC,0.722294013
4,RS_018_deltas,1,24H,Beta,O,-0.004248154
