...1,subject_id,Group,timepoint,frequency_band,measure,value
0,RS_006_deltas,1,Day7,Alpha,DTC,0.454791184
0,RS_006_deltas,1,Day7,Alpha,O,0.061429311
0,RS_006_deltas,1,Day7,Alpha,S,0.939101247
0,RS_006_deltas,1,Day7,Alpha,TC,1.47283e-4
0,RS_006_deltas,1,Day7,Beta,DTC,0.338498237
0,RS_006_deltas,1,Day7,Beta,O,0.315561407
0,RS_006_deltas,1,Day7,Beta,S,0.155559246
0,RS_006_deltas,1,Day7,Beta,TC,0.025212654
0,RS_006_deltas,1,Day7,Delta,DTC,0.044108422
0,RS_006_deltas,1,Day7,Delta,O,0.498611468
0,RS_006_deltas,1,Day7,Delta,S,0.099418616
0,RS_006_deltas,1,Day7,Delta,TC,0.055310194
0,RS_006_deltas,1,Day7,Gamma,DTC,-0.083517122
0,RS_006_deltas,1,Day7,Gamma,O,-0.110316985
0,RS_006_deltas,1,Day7,Gamma,S,-0.247515532
0,RS_006_deltas,1,Day7,Gamma,TC,-0.249715976
0,RS_006_deltas,1,Day7,Theta,DTC,0.123546518
0,RS_006_deltas,1,Day7,Theta,O,-0.127140014
0,RS_006_deltas,1,Day7,Theta,S,0.27064633
0,RS_006_deltas,1,Day7,Theta,TC,-0.177414637
0,RS_006_deltas,1,Day7,Wholeband,DTC,0.229291098
0,RS_006_deltas,1,Day7,Wholeband,O,0.133808528
0,RS_006_deltas,1,Day7,Wholeband,S,0.503461176
0,RS_006_deltas,1,Day7,Wholeband,TC,-0.159469732
1,RS_009_deltas,1,Day7,Alpha,DTC,0.131884951
1,RS_009_deltas,1,Day7,Alpha,O,0.0186038
1,RS_009_deltas,1,Day7,Alpha,S,0.320657532
1,RS_009_deltas,1,Day7,Alpha,TC,-0.084395702
1,RS_009_deltas,1,Day7,Beta,DTC,0.125110144
1,RS_009_deltas,1,Day7,Beta,O,-0.190667424
1,RS_009_deltas,1,Day7,Beta,S,0.717714314
1,RS_009_deltas,1,Day7,Beta,TC,0.341210564
1,RS_009_deltas,1,Day7,Delta,DTC,0.223400451
1,RS_009_deltas,1,Day7,Delta,O,-0.042172461
1,RS_009_deltas,1,Day7,Delta,S,0.511743966
1,RS_009_deltas,1,Day7,Delta,TC,0.288343515
1,RS_009_deltas,1,Day7,Gamma,DTC,-0.317866514
1,RS_009_deltas,1,Day7,Gamma,O,-0.040129402
1,RS_009_deltas,1,Day7,Gamma,S,-0.619180199
1,RS_009_deltas,1,Day7,Gamma,TC,-0.124704327
